mel_spectro_start,mel_spectro_end,mel_spectro_length,sentence,speaker
166871,167123,252,SX341,MJAC0
167123,167268,145,SI2306,FJLG0
167268,167472,204,SX213,FNTB0
167472,167729,257,SA1,MJRH0
167729,168044,315,SA1,MJAI0
168044,168545,501,SI1120,MJDE0
168545,168753,208,SX416,MTJM0
168753,169024,271,SX152,MHXL0
169024,169251,227,SI1676,FPJF0
169251,169452,201,SX147,MGRL0
169452,169735,283,SA1,MRJM0
169735,169997,262,SX337,MWRE0
169997,170236,239,SX402,FJXP0
170236,170464,228,SX416,MRGM0
170464,170654,190,SX63,MDPK0
170654,170891,237,SA2,MWRP0
170891,171062,171,SI815,FBMJ0
171062,171182,120,SI1641,FCAG0
171182,171376,194,SI480,MTQC0
171376,171643,267,SI1788,MDBP0
171643,171852,209,SX387,MJFH0
171852,172191,339,SI1313,MTLC0
172191,172422,231,SX211,FPAC0
172422,172730,308,SX422,MHXL0
172730,173058,328,SI1411,MAEB0
173058,173259,201,SX271,MCXM0
173259,173426,167,SI555,MJHI0
173426,173635,209,SA2,FLHD0
173635,173898,263,SA2,FCAJ0
173898,174113,215,SA1,MPSW0
174113,174306,193,SX399,MCTH0
174306,174493,187,SI1205,MPRB0
174493,174710,217,SX64,FSMS1
174710,175047,337,SI600,MPEB0
175047,175297,250,SA1,MESG0
175297,175500,203,SX222,FVFB0
175500,175762,262,SA1,MKAJ0
175762,176001,239,SA1,MJFH0
176001,176290,289,SX173,MHIT0
176290,176542,252,SX338,MJHI0
176542,176827,285,SX176,MJLB0
176827,177026,199,SI1871,FSPM0
177026,177254,228,SX7,FMMH0
177254,177535,281,SX438,FCEG0
177535,177798,263,SA1,MTJM0
177798,178172,374,SI959,FBCH0
178172,178414,242,SI2281,MRMH0
178414,178679,265,SX151,FJLR0
178679,178915,236,SX123,MTKP0
178915,179102,187,SI1790,FMBG0
179102,179303,201,SX26,MAKB0
179303,179585,282,SA1,MMDM1
179585,179810,225,SA2,MJFR0
179810,180039,229,SX382,FLMC0
180039,180248,209,SA2,FPJF0
180248,180488,240,SA2,FPAD0
180488,180789,301,SX286,MDBB1
180789,180956,167,SX415,FREH0
180956,181103,147,SX196,MJLS0
181103,181248,145,SI1794,FRJB0
181248,181416,168,SI2035,MMDG0
181416,181716,300,SX38,FKAA0
181716,181976,260,SX362,FTMG0
181976,182283,307,SI1226,MTJM0
182283,182579,296,SX327,MLNS0
182579,182744,165,SX59,MRBC0
182744,182970,226,SI1032,FVFB0
182970,183247,277,SX420,MPEB0
183247,183545,298,SA1,MDLB0
183545,183738,193,SA2,MGAW0
183738,183889,151,SI2314,FPAF0
183889,184031,142,SX207,MJFH0
184031,184247,216,SA2,MBMA0
184247,184446,199,SX402,MRPC1
184446,184842,396,SA1,MRML0
184842,185105,263,SI1366,MJRG0
185105,185326,221,SX201,MRCW0
185326,185704,378,SI834,FLAG0
185704,185928,224,SI2129,MPGR1
185928,186175,247,SI1297,FCYL0
186175,186552,377,SI1588,MMAA0
186552,186693,141,SX59,MSES0
186693,186906,213,SX147,FLET0
186906,187119,213,SI1737,MJFH0
187119,187368,249,SX450,MAEB0
187368,187598,230,SX356,MRFK0
187598,187982,384,SX335,FEME0
187982,188197,215,SX381,FEXM0
188197,188378,181,SI755,MTAS0
188378,188639,261,SA2,MSFV0
188639,188948,309,SX181,MCXM0
188948,189285,337,SI1752,FJXP0
189285,189587,302,SA2,MMRP0
189587,189841,254,SX442,FNKL0
189841,190054,213,SX197,MJJM0
190054,190387,333,SX336,MJRA0
190387,190682,295,SA1,MGJC0
190682,190948,266,SA2,FLJA0
190948,191288,340,SI1106,MMSM0
191288,191464,176,SX116,MRLR0
191464,191694,230,SX354,FMJF0
191694,191920,226,SX135,MVRW0
191920,192103,183,SX154,MRLD0
192103,192364,261,SX449,MDPS0
192364,192625,261,SI1325,FALR0
192625,192978,353,SI1076,MRFK0
192978,193372,394,SI658,FALK0
193372,193683,311,SX160,MEJS0
193683,193902,219,SX259,MFWK0
193902,194084,182,SA2,MSAH1
194084,194297,213,SX74,FSAH0
194297,194534,237,SI2219,MSES0
194534,194764,230,SI1914,MMVP0
194764,194984,220,SX393,MRLK0
194984,195197,213,SA2,MGSL0
195197,195405,208,SA2,MLBC0
195405,195684,279,SA1,FKDW0
195684,195960,276,SA2,MMDG0
195960,196150,190,SX405,MMGC0
196150,196375,225,SX326,MTJM0
196375,196611,236,SX106,MARW0
196611,196802,191,SA2,MFXV0
196802,197072,270,SX346,FLJD0
197072,197213,141,SI1607,FCJS0
197213,197562,349,SI516,FBMJ0
197562,197765,203,SI1976,FPAD0
197765,197866,101,SX237,MGRL0
197866,198128,262,SX264,MAJP0
198128,198355,227,SX302,MBTH0
198355,198599,244,SX38,MRAB1
198599,198813,214,SI1872,FCMG0
198813,199191,378,SI1889,FJLG0
199191,199479,288,SA2,FLMK0
199479,199716,237,SI585,MJRP0
199716,199941,225,SA1,FDXW0
199941,200052,111,SI1978,MEWM0
200052,200251,199,SX291,MDNS0
200251,200501,250,SA1,MDWD0
200501,200781,280,SX432,MTWH1
200781,201031,250,SA1,FJHK0
201031,201278,247,SA1,FLET0
201278,201482,204,SX387,MHJB0
201482,201644,162,SI2138,MTPP0
201644,201871,227,SX444,FLHD0
201871,202124,253,SX353,MJJJ0
202124,202405,281,SX248,MDEM0
202405,202603,198,SX339,MLBC0
202603,202877,274,SI558,MARC0
202877,203136,259,SA1,MREE0
203136,203355,219,SA1,MRVG0
203355,203615,260,SA2,FCYL0
203615,203929,314,SI1139,MJJB0
203929,204297,368,SX432,FCMG0
204297,204537,240,SX337,MVLO0
204537,204809,272,SX428,MKLN0
204809,204960,151,SX86,MSAT0
204960,205187,227,SX305,MMAA0
205187,205364,177,SX415,MJMA0
205364,205520,156,SI2062,FJRP1
205520,205728,208,SX436,MMAR0
205728,205906,178,SX106,MCLM0
205906,206193,287,SA1,FSBK0
206193,206337,144,SI1008,MRAV0
206337,206542,205,SX300,MRJB1
206542,206892,350,SI1098,FSKP0
206892,207156,264,SI1979,MDPS0
207156,207477,321,SA1,MSAS0
207477,207693,216,SA2,FTBW0
207693,207997,304,SX336,MAEO0
207997,208303,306,SX416,FBCH0
208303,208540,237,SX92,MJXL0
208540,208695,155,SI1533,MKLS0
208695,208912,217,SA2,MSJK0
208912,209149,237,SX235,MSMR0
209149,209539,390,SI2282,FJHK0
209539,209787,248,SA1,FMKC0
209787,210051,264,SA1,FLEH0
210051,210240,189,SX246,MMXS0
210240,210436,196,SA2,MAEO0
210436,210659,223,SA2,MKXL0
210659,210936,277,SX247,MDSS1
210936,211177,241,SX218,MRJM1
211177,211347,170,SX31,FPAC0
211347,211540,193,SX391,FPAC0
211540,211811,271,SA1,MGAK0
211811,211895,84,SX70,MMDG0
211895,212200,305,SI2151,MTDP0
212200,212400,200,SX285,MKLS1
212400,212657,257,SX76,MRFL0
212657,212968,311,SI1431,MPRD0
212968,213100,132,SX272,MAKR0
213100,213448,348,SX352,MJRG0
213448,213666,218,SI832,MDSJ0
213666,213905,239,SA1,MBBR0
213905,214047,142,SX70,MTXS0
214047,214270,223,SA2,MESG0
214270,214521,251,SX256,MWSH0
214521,214880,359,SI1075,FHXS0
214880,215080,200,SX245,FALR0
215080,215344,264,SX164,MJAI0
215344,215594,250,SA2,FKFB0
215594,215843,249,SX219,MCTH0
215843,216089,246,SI684,FSMM0
216089,216257,168,SX30,MRJB1
216257,216529,272,SX435,FJWB1
216529,216748,219,SX400,MDCM0
216748,217023,275,SX92,MSFV0
217023,217246,223,SA1,FVFB0
217246,217468,222,SI1655,MAEO0
217468,217708,240,SX338,MTPP0
217708,217954,246,SX419,MPGR1
217954,218161,207,SX448,MADD0
218161,218501,340,SI1616,MJLB0
218501,218650,149,SI1941,MMDM0
218650,218845,195,SX105,MRAM0
218845,219095,250,SI1025,FSJK1
219095,219322,227,SA2,FSJS0
219322,219640,318,SX439,MRJH0
219640,219864,224,SX424,MJRH1
219864,220171,307,SA1,MKLS1
220171,220420,249,SX232,FSDC0
220420,220641,221,SX411,MRLJ1
220641,220814,173,SX24,MCPM0
220814,221029,215,SA2,FJKL0
221029,221170,141,SI1274,MTDP0
221170,221405,235,SX164,FSAH0
221405,221595,190,SI1245,FEAC0
221595,221845,250,SX244,FSMS1
221845,222056,211,SI847,MTLC0
222056,222254,198,SX245,MDCD0
222254,222412,158,SI1881,MDSS0
222412,222656,244,SI1056,FSLS0
222656,222967,311,SX347,FRJB0
222967,223206,239,SI1982,MAKR0
223206,223518,312,SX58,MRJM0
223518,223828,310,SI655,MTJM0
223828,224017,189,SI1932,FJRB0
224017,224306,289,SA1,MMBS0
224306,224449,143,SI1827,FLHD0
224449,224839,390,SI2101,FPAB1
224839,225098,259,SX117,FMEM0
225098,225413,315,SX352,FMKC0
225413,225759,346,SI880,MJRK0
225759,225959,200,SA2,FJXP0
225959,226129,170,SA2,MSES0
226129,226336,207,SX69,MKLR0
226336,226601,265,SA1,MTKP0
226601,226783,182,SX71,FSPM0
226783,226986,203,SI1779,FDML0
226986,227152,166,SX150,FPLS0
227152,227495,343,SX435,MTML0
227495,227639,144,SI1158,MDBP0
227639,228051,412,SI1571,MKLW0
228051,228262,211,SX57,FLET0
228262,228474,212,SX240,MRVG0
228474,228633,159,SI2330,FLTM0
228633,228821,188,SI1865,MTPF0
228821,228967,146,SX93,MTRC0
228967,229157,190,SA2,MBSB0
229157,229442,285,SX165,MJFR0
229442,229678,236,SX355,FHXS0
229678,229909,231,SI1135,MCEF0
229909,230076,167,SX207,FLOD0
230076,230369,293,SA2,FBCG1
230369,230745,376,SI892,FNKL0
230745,231149,404,SX335,FGMB0
231149,231400,251,SX121,MJWT0
231400,231648,248,SA1,FBCG1
231648,231933,285,SX153,FPAZ0
231933,232130,197,SX263,MKES0
232130,232485,355,SI808,FCLT0
232485,232700,215,SX355,FKLC0
232700,232951,251,SX360,MDED0
232951,233134,183,SI1777,MVLO0
233134,233314,180,SX186,MNET0
233314,233666,352,SX251,MWAC0
233666,233945,279,SI789,MDDC0
233945,234143,198,SA2,MRAV0
234143,234470,327,SI1372,FLMC0
234470,234868,398,SI1429,MRSP0
234868,235075,207,SX334,FSMS1
235075,235220,145,SI2061,MPRD0
235220,235404,184,SI1262,MSFV0
235404,235630,226,SX272,MJXL0
235630,235872,242,SX219,FMJU0
235872,236139,267,SI1286,MJEB0
236139,236410,271,SA1,MESJ0
236410,236658,248,SI809,MDHL0
236658,236906,248,SA2,FDTD0
236906,237055,149,SX24,MPSW0
237055,237278,223,SX265,FHXS0
237278,237496,218,SA2,MRJT0
237496,237720,224,SX443,MHIT0
237720,237894,174,SX26,MJEB0
237894,238314,420,SI1395,MDLC0
238314,238490,176,SX132,MRPC1
238490,238851,361,SI663,MAPV0
238851,239218,367,SX251,MRML0
239218,239381,163,SX81,MMWS1
239381,239775,394,SI1202,FDKN0
239775,240011,236,SA2,MSAT1
240011,240223,212,SX168,MRCG0
240223,240437,214,SI2217,MBCG0
240437,240607,170,SI1689,MKLR0
240607,240735,128,SI2142,MTWH1
240735,241005,270,SX73,FSJW0
241005,241272,267,SA2,FBLV0
241272,241458,186,SX24,MREE0
241458,241682,224,SA2,MJKR0
241682,241902,220,SX62,MKDB0
241902,242228,326,SX382,MTJS0
242228,242489,261,SI1677,FJEN0
242489,242637,148,SI1167,MRDS0
242637,242854,217,SA2,MRMB0
242854,243135,281,SX250,MMDG0
243135,243528,393,SI1521,MTDP0
243528,243711,183,SI1028,MJMD0
243711,243940,229,SX182,MCEW0
243940,244185,245,SX222,FJRB0
244185,244405,220,SI1675,MWAR0
244405,244773,368,SI1908,FDNC0
244773,245069,296,SI2206,MPAR0
245069,245298,229,SX421,FKDE0
245298,245668,370,SX357,MSDS0
245668,245900,232,SI1691,MMPM0
245900,246156,256,SA1,MDKS0
246156,246373,217,SI898,MKAH0
246373,246582,209,SX144,FSMM0
246582,246820,238,SX235,MLJC0
246820,246989,169,SI757,MBTH0
246989,247371,382,SI524,MCDR0
247371,247600,229,SX219,MAFM0
247600,247962,362,SA1,MDWH0
247962,248194,232,SI2134,FSMS1
248194,248503,309,SI867,MGRL0
248503,248622,119,SI1470,FRJB0
248622,248806,184,SX163,FLMA0
248806,249063,257,SX141,MKRG0
249063,249300,237,SX221,FJXM0
249300,249570,270,SA1,MKAM0
249570,249796,226,SX40,MCLK0
249796,250067,271,SX245,MTPF0
250067,250336,269,SA1,MRSP0
250336,250552,216,SI1604,MJAI0
250552,250907,355,SI501,MSRR0
250907,251118,211,SX6,MDAS0
251118,251385,267,SI874,FSMS1
251385,251657,272,SI1964,FJDM2
251657,251857,200,SA2,MRCW0
251857,252053,196,SX405,MHBS0
252053,252276,223,SA1,MRLD0
252276,252524,248,SA2,MEWM0
252524,252804,280,SX54,FSMM0
252804,252996,192,SX273,MTBC0
252996,253253,257,SA2,FSLS0
253253,253503,250,SA1,MTJG0
253503,253868,365,SI771,MTDB0
253868,254099,231,SX240,MREW1
254099,254293,194,SI2146,FLJD0
254293,254456,163,SX225,MJRH0
254456,254737,281,SI807,MILB0
254737,254964,227,SX15,MEFG0
254964,255154,190,SI2135,FEME0
255154,255545,391,SI1145,FGMB0
255545,255732,187,SA2,MJPG0
255732,256021,289,SX212,FJHK0
256021,256213,192,SA2,MFRM0
256213,256459,246,SI1552,FBJL0
256459,256652,193,SI2296,MGAK0
256652,256923,271,SI2232,FMPG0
256923,257171,248,SX60,MPGR0
257171,257436,265,SX328,FKLC1
257436,257746,310,SI1377,FMEM0
257746,258019,273,SA1,MSJK0
258019,258238,219,SA1,MMWS1
258238,258530,292,SI1457,MJJM0
258530,258777,247,SX348,MMWS0
258777,258996,219,SA2,FSRH0
258996,259234,238,SX145,MLJC0
259234,259478,244,SX76,FLJD0
259478,259681,203,SX121,FCKE0
259681,259892,211,SA2,FSDJ0
259892,260141,249,SX351,MMWS1
260141,260416,275,SX338,FBLV0
260416,260674,258,SX250,MDLH0
260674,261029,355,SI1472,FBAS0
261029,261215,186,SI1017,MHJB0
261215,261489,274,SA1,MMAB1
261489,261707,218,SI1314,FSMM0
261707,261873,166,SX207,FMEM0
261873,262027,154,SX381,MBEF0
262027,262364,337,SI1466,FVMH0
262364,262569,205,SA2,MRJH0
262569,262756,187,SX386,MVJH0
262756,263027,271,SA1,MMEB0
263027,263409,382,SX181,MTQC0
263409,263667,258,SI708,MMCC0
263667,263933,266,SA1,MDLR0
263933,264181,248,SI1137,FLET0
264181,264308,127,SI1621,FSMA0
264308,264527,219,SI1563,MDEF0
264527,264677,150,SX3,FMBG0
264677,264868,191,SI1497,MGRL0
264868,265114,246,SX351,MJDC0
265114,265310,196,SX35,MMAA0
265310,265549,239,SI1023,MTKP0
265549,265749,200,SX64,MJRH1
265749,266051,302,SI541,FSJS0
266051,266289,238,SA2,MRXB0
266289,266521,232,SI1928,MRJM1
266521,266704,183,SX402,FVFB0
266704,267013,309,SI2056,MDBB1
267013,267392,379,SI1291,MJWT0
267392,267586,194,SA2,MTJM0
267586,267807,221,SX390,MTAT0
267807,268013,206,SI539,MBML0
268013,268218,205,SI621,MDSS0
268218,268456,238,SX52,MBMA0
268456,268619,163,SI1882,FEAR0
268619,269030,411,SI490,MJDE0
269030,269215,185,SX363,MBSB0
269215,269403,188,SI1661,MJDA0
269403,269642,239,SX39,MDLR1
269642,269917,275,SX398,MRJM1
269917,270162,245,SA1,FSDC0
270162,270365,203,SX46,MDLB0
270365,270584,219,SI971,MWAC0
270584,270783,199,SX131,FSRH0
270783,271176,393,SI792,MRAI0
271176,271330,154,SI1520,MTJG0
271330,271568,238,SA1,MBAR0
271568,271764,196,SI2155,MJWG0
271764,272034,270,SX417,MLNS0
272034,272174,140,SX257,MKJO0
272174,272454,280,SI849,FCAJ0
272454,272742,288,SI951,MRMB0
272742,273149,407,SI1464,FLAG0
273149,273450,301,SX448,MPFU0
273450,273618,168,SX16,MDBB1
273618,273876,258,SA1,MJDG0
273876,274209,333,SX120,FHLM0
274209,274467,258,SX15,MRAM0
274467,274696,229,SX285,MEFG0
274696,275076,380,SI879,FMAH1
275076,275412,336,SX160,MTXS0
275412,275669,257,SX167,MBJV0
275669,275888,219,SX61,MGAG0
275888,276071,183,SX377,MSDB0
276071,276292,221,SA1,FCEG0
276292,276584,292,SX117,FDMY0
276584,276824,240,SA2,MMDM1
276824,276905,81,SI2018,MMEA0
276905,277193,288,SX426,MAEO0
277193,277510,317,SX352,MTCS0
277510,277699,189,SX65,FALR0
277699,277976,277,SX437,MKJO0
277976,278305,329,SX116,MAKB0
278305,278636,331,SA2,MWRE0
278636,278837,201,SI1674,MFXS0
278837,279045,208,SI2158,MKAH0
279045,279323,278,SX423,FCAG0
279323,279677,354,SI1368,MJPM0
279677,279923,246,SX67,MMAM0
279923,280142,219,SX316,MSFH0
280142,280264,122,SI2144,MDLC1
280264,280544,280,SX153,MDLR0
280544,280791,247,SA2,FMAH1
280791,281052,261,SX340,MDLH0
281052,281382,330,SI1312,FSDC0
281382,281909,527,SI714,FDMY0
281909,282126,217,SX85,FKLC0
282126,282313,187,SA2,FCEG0
282313,282576,263,SI1638,MRAV0
282576,282865,289,SX122,MDRD0
282865,283168,303,SA1,FSGF0
283168,283567,399,SI837,MJEB1
283567,283828,261,SA1,MKAH0
283828,284067,239,SA1,MRFK0
284067,284233,166,SX81,MDSS0
284233,284565,332,SI955,MRXB0
284565,284886,321,SA1,MJSR0
284886,285051,165,SX381,MJPG0
285051,285190,139,SX307,MKDD0
285190,285332,142,SX72,MTWH1
285332,285611,279,SX164,MJSR0
285611,285886,275,SX341,MWAC0
285886,286297,411,SX349,MARW0
286297,286561,264,SI1235,MTPF0
286561,286826,265,SX212,MCDC0
286826,287061,235,SI893,MKDT0
287061,287229,168,SX300,MRMS0
287229,287423,194,SX271,MDAC0
287423,287709,286,SA2,FLKM0
287709,287869,160,SI1702,FMKC0
287869,288094,225,SX57,MTRT0
288094,288324,230,SA2,FHXS0
288324,288595,271,SX259,FVKB0
288595,288854,259,SX412,MRTJ0
288854,289169,315,SA2,FJEN0
289169,289333,164,SX393,MDEF0
289333,289675,342,SX166,MLEL0
289675,289837,162,SA2,MTPF0
289837,290090,253,SA2,FPMY0
290090,290404,314,SX309,MRSO0
290404,290668,264,SX122,FEEH0
290668,290838,170,SX127,MGSH0
290838,291092,254,SA1,MVJH0
291092,291214,122,SX59,MSAH1
291214,291462,248,SA1,MILB0
291462,291761,299,SX446,FSCN0
291761,292049,288,SX258,MRCG0
292049,292328,279,SX328,MRJM0
292328,292504,176,SX85,MGAW0
292504,292614,110,SI2141,FDXW0
292614,292765,151,SX225,MHBS0
292765,293009,244,SA2,MJWT0
293009,293263,254,SX375,MFXV0
293263,293421,158,SX125,MTAS0
293421,293495,74,SX70,MEJS0
293495,293718,223,SX238,MRJT0
293718,294092,374,SI1156,MRFL0
294092,294340,248,SA2,MADC0
294340,294510,170,SX445,MGAW0
294510,294761,251,SX226,MMAG0
294761,295088,327,SI988,FGDP0
295088,295337,249,SI1517,MKJO0
295337,295574,237,SI930,FHLM0
295574,295805,231,SX186,MRGS0
295805,296134,329,SI1410,MPGR0
296134,296314,180,SA2,MCDD0
296314,296652,338,SX251,MJAC0
296652,296820,168,SI1885,MJMM0
296820,297044,224,SI1799,MBML0
297044,297416,372,SI1300,FSAK0
297416,297565,149,SI2184,MMGC0
297565,297850,285,SX308,FKAA0
297850,297947,97,SI1949,MBAR0
297947,298231,284,SX343,FPMY0
298231,298441,210,SA2,MJRP0
298441,298616,175,SX225,FLMK0
298616,298868,252,SX443,MKDT0
298868,299150,282,SI2325,MTML0
299150,299550,400,SX327,FSAH0
299550,299715,165,SX237,MGRP0
299715,299906,191,SI1618,FGDP0
299906,300158,252,SA1,MDBB1
300158,300398,240,SX243,MMDM1
300398,300655,257,SA1,MJRA0
300655,300885,230,SX443,MSAT1
300885,301096,211,SX83,MKES0
301096,301247,151,SX182,MWCH0
301247,301429,182,SX42,MTAB0
301429,301609,180,SX86,MRFK0
301609,301959,350,SX327,MBCG0
301959,302073,114,SI1996,MJRG0
302073,302444,371,SI1079,MMGG0
302444,302641,197,SA2,MMCC0
302641,302894,253,SI711,MBGT0
302894,303255,361,SX67,MWRE0
303255,303477,222,SX240,MRDD0
303477,303643,166,SX384,MPGH0
303643,303866,223,SA2,FCJS0
303866,304024,158,SX17,MADC0
304024,304320,296,SI1082,FSSB0
304320,304522,202,SA2,MDCD0
304522,304777,255,SA2,MILB0
304777,304968,191,SX87,MCHL0
304968,305198,230,SA2,MTLB0
305198,305510,312,SA2,MRKM0
305510,305682,172,SX249,FTAJ0
305682,305878,196,SX308,MMEA0
305878,306081,203,SX158,MTPP0
306081,306236,155,SI2315,MBBR0
306236,306481,245,SX61,MREM0
306481,306758,277,SX220,MCLK0
306758,306975,217,SA2,FETB0
306975,307337,362,SI866,MDPB0
307337,307543,206,SI778,MMJB1
307543,307801,258,SX444,MAJP0
307801,308041,240,SA1,MREM0
308041,308247,206,SX361,FLAC0
308247,308500,253,SI885,MRHL0
308500,308741,241,SA1,FREH0
308741,308984,243,SI1408,MMJB1
308984,309247,263,SA1,FSAK0
309247,309634,387,SX167,MEGJ0
309634,309863,229,SX147,MBCG0
309863,309995,132,SX31,MRMH0
309995,310295,300,SA1,MPFU0
310295,310529,234,SA1,MSRG0
310529,310769,240,SA2,MRGS0
310769,311031,262,SA1,FSJK1
311031,311219,188,SX168,MNTW0
311219,311399,180,SX105,MDJM0
311399,311568,169,SX90,MDWD0
311568,311713,145,SX187,MMEB0
311713,311871,158,SI766,MSTF0
311871,312279,408,SI2230,MTPR0
312279,312569,290,SA1,MTXS0
312569,312786,217,SX395,FSJK1
312786,313112,326,SI509,MSMC0
313112,313266,154,SI645,MGAG0
313266,313545,279,SX234,MMRP0
313545,313810,265,SA1,FLMC0
313810,314072,262,SI2132,MKDB0
314072,314314,242,SX210,FHLM0
314314,314520,206,SX92,MWCH0
314520,314848,328,SA1,FMEM0
314848,315081,233,SX38,MJMD0
315081,315297,216,SA2,MHXL0
315297,315484,187,SI2100,MRMS0
315484,315705,221,SX235,MRXB0
315705,316000,295,SI1589,MSES0
316000,316200,200,SX117,MJEB1
316200,316462,262,SI1073,MSAT1
316462,316603,141,SX225,MVRW0
316603,316947,344,SI1380,MCSS0
316947,317315,368,SI598,MEFG0
317315,317483,168,SX17,MSMC0
317483,317734,251,SA1,MRDD0
317734,317929,195,SI2124,MMAB1
317929,318222,293,SA1,FBCH0
318222,318534,312,SX215,MDWH0
318534,318725,191,SX354,FLHD0
318725,318890,165,SI594,MRAB0
318890,319069,179,SX72,MRAI0
319069,319501,432,SI712,MTCS0
319501,319900,399,SI1516,FLJD0
319900,320111,211,SA2,FSAH0
320111,320368,257,SX402,MTAB0
320368,320564,196,SX182,FTMG0
320564,320765,201,SX416,FBMH0
320765,321058,293,SI1782,FGRW0
321058,321272,214,SI1693,FAPB0
321272,321450,178,SX254,MTMN0
321450,321634,184,SX421,MGAG0
321634,321952,318,SA1,MDLC0
321952,322194,242,SX144,MBMA1
322194,322407,213,SX40,MTJU0
322407,322691,284,SI1244,FSAH0
322691,323060,369,SX438,MRCG0
323060,323258,198,SI1748,MTMT0
323258,323517,259,SX392,MBTH0
323517,323719,202,SX245,MRDM0
323719,323957,238,SX129,MHMR0
323957,324185,228,SA1,MWGR0
324185,324351,166,SX225,MJRP0
324351,324557,206,SI2152,FNKL0
324557,324898,341,SA1,FGRW0
324898,325198,300,SI1287,FLOD0
